@timestamp per second,Count of records,Rabbit queue lenght
13:09:30,28000,0
13:09:31,28000,0
13:09:32,28000,0
13:09:33,28000,0
13:09:34,28000,0
13:09:35,28000,0
13:09:36,28000,0
13:09:37,28000,0
13:09:38,28000,0
13:09:39,28000,0
13:09:40,32000,0
13:09:41,32000,0
13:09:42,32000,0
13:09:43,32000,0
13:09:44,32000,0
13:09:45,32000,0
13:09:46,32000,0
13:09:47,32000,0
13:09:48,32000,0
13:09:49,32000,0
13:09:50,32000,0
13:09:51,32000,0
13:09:52,32000,0
13:09:53,32000,0
13:09:54,32000,0
13:09:55,36000,0
13:09:56,36000,0
13:09:57,36000,366
13:09:58,36000,366
13:09:59,36000,366
13:10:00,36000,366
13:10:01,36000,0
13:10:02,36000,0
13:10:03,36000,0
13:10:04,36000,0
13:10:05,36000,0
13:10:06,36000,0
13:10:07,36000,0
13:10:08,36000,0
13:10:09,36000,0
13:10:10,37000,0
13:10:11,37000,0
13:10:12,37000,0
13:10:13,37000,0
13:10:14,37000,0
13:10:15,37000,0
13:10:16,37000,0
13:10:17,37000,0
13:10:18,37000,0
13:10:19,37000,0
13:10:20,37000,0
13:10:21,37000,0
13:10:22,37000,0
13:10:23,37000,0
13:10:24,37000,0
13:10:25,38000,0
13:10:26,38000,0
13:10:27,38000,0
13:10:28,38000,6275
13:10:29,38000,6275
13:10:30,38000,6275
13:10:31,38000,6275
13:10:32,38000,6275
13:10:33,38000,39810
13:10:34,38000,39810
13:10:35,38000,39810
13:10:36,38000,39810
13:10:37,38000,109281
13:10:38,38000,109281
13:10:39,38000,109281
13:10:40,39000,109281
13:10:41,39000,109281
13:10:42,39000,185921
13:10:43,39000,185921
13:10:44,39000,185921
13:10:45,39000,185921
13:10:46,39000,257815
13:10:47,39000,257815
13:10:48,39000,257815
13:10:49,39000,257815
13:10:50,39000,257815
13:10:51,39000,330172
13:10:52,39000,330172
13:10:53,39000,330172
13:10:54,39000,330172
13:10:55,40000,330172
13:10:56,40000,387503
13:10:57,40000,387503
13:10:58,40000,387503
13:10:59,40000,387503
13:11:00,40000,470664
13:11:01,40000,470664
13:11:02,40000,470664
13:11:03,40000,470664
13:11:04,40000,470664
13:11:05,40000,564333
13:11:06,40000,564333
13:11:07,40000,564333
13:11:08,40000,564333
13:11:09,40000,646846
13:11:10,41000,646846
13:11:11,41000,646846
13:11:12,41000,646846
13:11:13,41000,646846
13:11:14,41000,714165
13:11:15,41000,714165
13:11:16,41000,714165
13:11:17,41000,714165
13:11:18,41000,819785
13:11:19,41000,819785
13:11:20,41000,819785
13:11:21,41000,819785
13:11:22,41000,819785
13:11:23,41000,898969
13:11:24,41000,898969
13:11:25,41000,898969
13:11:26,41000,898969
13:11:27,41000,978965
13:11:28,41000,978965
13:11:29,41000,978965
13:11:30,41000,978965
13:11:31,41000,978965
13:11:32,41000,1045265
13:11:33,41000,1045265
13:11:34,41000,1045265
13:11:35,41000,1045265
13:11:36,41000,1120063
13:11:37,41000,1120063
13:11:38,41000,1120063
13:11:39,41000,1120063
13:11:40,41000,1120063
13:11:41,41000,1195515
13:11:42,41000,1195515
13:11:43,41000,1195515
13:11:44,41000,1195515
13:11:45,41000,1301963
13:11:46,41000,1301963
13:11:47,41000,1301963
13:11:48,41000,1301963
13:11:49,41000,1301963
13:11:50,41000,1402122
13:11:51,41000,1402122
13:11:52,41000,1402122
13:11:53,41000,1402122
