@timestamp per second,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,sender_avg_send_value,sender_lustre_nic_IO,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
11:08:21 AM,293601280,0,293601280,0,297402368,0,0,4937.4,1254133426,0,297795584,0,297795584,0,299847488,290340864,2.16108852624893
11:08:22 AM,301989888,0,293601280,0,295043072,0,0,4937.4,1254370908,0,297795360,0,289406752,0,295531264,294748160,2.19220036268234
11:08:23 AM,297795584,0,293601280,0,298057728,0,0,4662.3,1253241972,0,297795584,0,297795584,0,299444960,294567936,2.19261032342911
11:08:24 AM,297795584,0,301989888,0,300679168,0,0,4681.6,1254129110,0,301989888,0,297795584,0,299767872,294416384,2.18337541818619
11:08:25 AM,293601280,0,297795584,0,299499520,0,0,4928.6,1253278708,0,297795584,0,293601280,0,298645664,293380096,2.19220036268234
11:08:26 AM,0,0,289406976,0,298319872,0,0,1633.4,1252946628,0,297795584,0,297795584,0,299404416,188481536,1.05679005384445
11:08:27 AM,285212672,0,234881024,0,273022976,0,0,1638.1,1251422922,0,130022792,0,121634184,0,125923544,98254848,0.730808973312378
11:08:28 AM,100663296,0,96468992,0,99614720,0,0,1641.1,1249708480,0,100663296,0,100663296,0,99825120,103239680,0.920250773429871
11:08:29 AM,100663296,0,104857600,0,103284736,0,0,3176.9,1251353604,0,138404752,0,134210448,0,139455008,188301312,1.38199925422668
11:08:30 AM,163577856,0,167772160,0,160825344,0,0,3289.5,1250354646,0,188739472,0,188739472,0,189598224,190795776,1.44543528556824
11:08:31 AM,188743680,0,197132288,0,190316544,0,0,3286,1249673878,0,192933184,0,192936992,0,194750208,191213568,1.4418751001358
11:08:32 AM,188743680,0,188743680,0,190316544,0,0,3152.8,1249673878,0,201326592,0,197128480,0,194750208,196427776,1.46206027269363
11:08:33 AM,197132288,0,201326592,0,193200128,0,0,3297.8,1251663838,0,197132288,0,197132288,0,199650240,193990656,1.44115227460861
11:08:34 AM,201326592,0,188743680,0,200540160,0,0,3154.9,1251857032,0,197129136,0,192934832,0,199905088,193658880,1.44090414047241
11:08:35 AM,201326592,0,197132288,0,199360512,0,0,3167.3,1251229380,0,197128464,0,197128464,0,197106112,196149248,1.45983785390854
11:08:36 AM,201326592,0,201326592,0,196345856,0,0,3178.2,1251716930,0,201326592,0,197132288,0,196899040,196091904,1.46210342645645
11:08:37 AM,197132288,0,197132288,0,197656576,0,0,3261.6,1252693222,0,197132288,0,197132288,0,199217280,193679360,1.43996554613113
11:08:38 AM,197132288,0,188743680,0,199491584,0,0,3276.8,1252506634,0,192937936,0,188743632,0,199750144,187101184,1.38112539052963
11:08:39 AM,192937984,0,188743680,0,198574080,0,0,3250.4,1252051730,0,192933920,0,192933920,0,190816000,193740800,1.42330819368362
11:08:40 AM,188743680,0,197132288,0,188219392,0,0,3366.1,1251365506,0,197129728,0,192935424,0,193919056,191680512,1.43898379802704
11:08:41 AM,197132288,0,197132288,0,196345856,0,0,3364.7,1250346824,0,197130496,0,192936192,0,195396016,193449984,1.46181213855743
11:08:42 AM,201326592,0,188743680,0,195297280,0,0,3207.1,1250968920,0,197132288,0,201326592,0,196473328,196788224,1.46226525306702
11:08:43 AM,201326592,0,201326592,0,196870144,0,0,3406.6,1251354062,0,197130960,0,197130960,0,199653136,193499136,1.44094729423523
11:08:44 AM,184549376,0,201326592,0,199884800,0,0,3329.8,1250252792,0,197131744,0,192937440,0,196321280,193417216,1.41857206821442
11:08:45 AM,201326592,0,184549376,0,196083712,0,0,3209.8,1250820632,0,192933728,0,188739424,0,196854144,190607360,1.43924272060394
11:08:46 AM,197132288,0,201326592,0,197656576,0,0,3381.5,1250692628,0,201326592,0,197132288,0,193720672,192729088,1.43725764751434
11:08:47 AM,192937984,0,184549376,0,192937984,0,0,3255.7,1250727438,0,192930912,0,192930912,0,199650240,193712128,1.39984333515167
11:08:48 AM,197132288,0,201326592,0,197132288,0,0,3342.6,1251122260,0,192931008,0,192931008,0,193590368,190894080,1.461973965168
11:08:49 AM,197132288,0,184549376,0,197132288,0,0,3394.6,1251705428,0,195821760,0,195825472,0,194324496,193990656,1.44127094745636
11:08:50 AM,192937984,0,201326592,0,193200128,0,0,3443.9,1251402692,0,201326592,0,197128576,0,197026464,196075520,1.46031254529953
11:08:51 AM,197132288,0,201326592,0,197132288,0,0,3409.9,1252033210,0,201326592,0,197132288,0,199512672,196366336,1.46156400442123
11:08:52 AM,201326592,0,192937984,0,199622656,0,0,3478.5,1251923612,0,197130912,0,192936608,0,199684992,193933312,1.44432407617569
11:08:53 AM,201326592,0,192937984,0,199360512,0,0,3394.2,1252361664,0,192937376,0,197131680,0,197625936,193683456,1.44078546762466
11:08:54 AM,201326592,0,201326592,0,197656576,0,0,3365.9,1252087540,0,201326592,0,197132288,0,197085824,196308992,1.46064698696136
11:08:55 AM,197132288,0,197132288,0,197132288,0,0,3474.4,1250510234,0,201326592,0,197132288,0,199754496,196255744,1.46064698696136
11:08:56 AM,197132288,0,188743680,0,199753728,0,0,3453,1251708970,0,197131040,0,192936736,0,199212944,193728512,1.41835629940033
11:08:57 AM,192937984,0,201326592,0,199229440,0,0,3419,1252984980,0,197128864,0,197128864,0,196914976,193126400,1.46125113964081
11:08:58 AM,201326592,0,197132288,0,196608000,0,0,3580,1251296832,0,197131504,0,197132288,0,196716592,193748992,1.44265186786652
11:08:59 AM,197132288,0,188743680,0,196476928,0,0,3335.7,1251809778,0,197132288,0,197131504,0,197043840,196259840,1.46064698696136
