time_stamp,sender_retrans,sender_read_bytes,sender_remote_ost_read_bytes,sender_write_bytes,sender_remote_ost_write_bytes,receiver_read_bytes,receiver_remote_ost_read_bytes,receiver_write_bytes,receiver_remote_ost_write_bytes,receiver_write_bytes_io,through_put
02:46:42 PM,0,247463936,507510784,0,0,0,0,264240400,251657488,251793408,1.8056640625
02:46:43 PM,0,272629760,507510784,0,0,0,0,243548160,247742464,251527168,1.880859375
02:46:44 PM,0,255852544,507510784,0,0,0,0,255852544,264241152,260440064,1.8857421875
02:46:45 PM,0,247463936,507510784,0,0,0,0,264241152,243269632,237240320,1.83203125
02:46:46 PM,0,268435456,507510784,0,0,0,0,247463936,260046848,263196672,1.96875
02:46:47 PM,0,251658240,507510784,0,0,0,0,264241152,251658240,258338816,1.9580078125
02:46:48 PM,0,264241152,507510784,0,0,0,0,247463936,260046848,233316352,1.7138671875
02:46:49 PM,0,247463936,507510784,0,0,0,0,260042448,239070928,257429504,1.9521484375
02:46:50 PM,0,247463936,507510784,0,0,0,0,255852544,255852544,257163264,1.8232421875
02:46:51 PM,0,260046848,507510784,0,0,0,0,247463936,264241152,240648192,1.83203125
02:46:52 PM,0,264241152,507510784,0,0,0,0,268435456,264241152,265551872,1.96875
02:46:53 PM,0,268435456,507510784,0,0,0,0,251658240,243269632,260046848,1.978515625
02:46:54 PM,0,260046848,511705088,0,0,0,0,268435456,255852544,250933248,1.818359375
02:46:55 PM,0,247463936,507510784,0,0,0,0,255852544,264241152,248188928,1.919921875
02:46:56 PM,0,255852544,507510784,0,0,0,0,247463936,239075328,262275072,1.8330078125
02:46:57 PM,0,268435456,511705088,0,0,0,0,260046848,260046848,238419968,1.8544921875
02:46:58 PM,0,251658240,507510784,0,0,0,0,268435456,260046848,262676480,1.9404296875
02:46:59 PM,0,247463936,507510784,0,0,0,0,247463936,247463936,253079552,1.8173828125
02:47:00 PM,0,0,511705088,0,0,0,0,247463936,255852544,241987584,1.927734375
02:47:01 PM,0,264241152,507510784,0,0,0,0,268435456,255852544,268304384,1.91874551773071
02:47:02 PM,0,268435456,507510784,0,0,0,0,264241152,247463936,241565696,1.77363729476929
02:47:03 PM,0,247463936,511705088,0,0,0,0,251658240,255852544,249171968,1.9580078125
02:47:04 PM,0,251658240,507510784,0,0,0,0,243269632,264241152,264241152,1.880859375
02:47:05 PM,0,255852544,507510784,0,0,0,0,260046848,243269632,243531776,1.8037109375
02:47:06 PM,0,264241152,511705088,0,0,0,0,264241152,0,251314176,1.9384765625
02:47:07 PM,0,264241152,507510784,0,0,0,0,255852544,255852544,260128768,1.908203125
02:47:08 PM,0,247463936,511705088,0,0,0,0,0,255852544,240517120,1.771484375
02:47:09 PM,0,243269632,507510784,0,0,0,0,247463936,255852544,254414848,1.9443359375
02:47:10 PM,0,268435456,511705088,0,0,0,0,255852544,243269632,264241152,1.87826412916183
02:47:11 PM,0,264241152,507510784,0,0,0,0,264241152,260046848,234491904,1.84243899583817
02:47:12 PM,0,243269632,507510784,0,0,0,0,251658240,255852544,256245760,1.93359375
02:47:13 PM,0,251658240,507510784,0,0,0,0,251658240,247463936,260313088,1.8115234375
02:47:14 PM,0,260046848,0,0,0,0,0,251421664,251421664,236453888,1.84765625
02:47:15 PM,0,264241152,511705088,0,0,0,0,264241152,264241152,258211840,1.96484375
02:47:16 PM,0,260046848,503316480,0,0,0,0,264241152,251658240,261881856,1.86328125
02:47:17 PM,0,243269632,507510784,0,0,0,0,247463936,247463936,235405312,1.7919921875
02:47:18 PM,0,251658240,503316480,0,0,0,0,247463936,255852544,257687552,1.9580078125
02:47:19 PM,0,264241152,507510784,0,0,0,0,260046848,247463936,248250368,1.759765625
02:47:20 PM,0,251658240,507510784,0,0,0,0,255852544,247463936,242483200,1.90625
02:47:21 PM,0,247463936,503316480,0,0,0,0,251658240,260046848,261488640,1.8662109375
02:47:22 PM,0,260046848,507510784,0,0,0,0,251658240,247463936,243924992,1.8203125
02:47:23 PM,0,264241152,503316480,0,0,0,0,264241152,247463936,253759488,1.96875
02:47:24 PM,0,243269632,507510784,0,0,0,0,251658240,264241152,252575744,1.76953125
02:47:25 PM,0,251658240,507510784,0,0,0,0,247463936,247463936,242352128,1.91796875
