ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
3,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:181(send_bytes)
911,0.003,0.000,0.019,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:202(send)
3,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:208(recv_bytes)
911,0.002,0.000,0.033,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:246(recv)
914,0.001,0.000,0.003,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:365(_send)
1828,0.002,0.000,0.026,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:374(_recv)
914,0.002,0.000,0.005,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:390(_send_bytes)
914,0.002,0.000,0.028,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:413(_recv_bytes)
1,0.000,0.000,0.001,0.001,/usr/local/lib/python3.8/multiprocessing/connection.py:493(Client)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:623(SocketClient)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/connection.py:732(deliver_challenge)
1,0.000,0.000,0.001,0.001,/usr/local/lib/python3.8/multiprocessing/connection.py:747(answer_challenge)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/util.py:48(debug)
102,0.001,0.000,0.009,0.000,/users/Ehsan/AgentMetricCollector/collectors/client_ost_metric_collector.py:36(collect_metrics)
1,0.000,0.000,0.000,0.000,/users/Ehsan/AgentMetricCollector/collectors/client_ost_metric_collector.py:14(__init__)
102,0.004,0.000,0.009,0.000,/users/Ehsan/AgentMetricCollector/collectors/client_ost_metric_collector.py:39(process_ost_stat)
102,0.001,0.000,0.001,0.000,/users/Ehsan/AgentMetricCollector/collectors/client_ost_metric_collector.py:134(metrics_list_to_str)
102,0.001,0.000,0.001,0.000,/users/Ehsan/AgentMetricCollector/collectors/client_ost_metric_collector.py:146(metrics_list_to_dict)
1,0.000,0.000,0.000,0.000,/users/Ehsan/AgentMetricCollector/collectors/lustre_ost_metric_zmq_collector.py:28(initialize_socket)
1,0.000,0.000,0.001,0.001,/users/Ehsan/AgentMetricCollector/collectors/lustre_ost_metric_zmq_collector.py:17(__init__)
102,0.000,0.000,0.421,0.004,/users/Ehsan/AgentMetricCollector/collectors/lustre_ost_metric_zmq_collector.py:36(collect_metrics)
102,0.004,0.000,0.421,0.004,/users/Ehsan/AgentMetricCollector/collectors/lustre_ost_metric_zmq_collector.py:39(process_lustre_ost_stats)
102,0.001,0.000,0.001,0.000,/users/Ehsan/AgentMetricCollector/collectors/lustre_ost_metric_zmq_collector.py:82(metrics_list_to_str)
102,0.001,0.000,0.001,0.000,/users/Ehsan/AgentMetricCollector/collectors/lustre_ost_metric_zmq_collector.py:94(metrics_list_to_dict)
10,0.000,0.000,0.001,0.000,/users/Ehsan/AgentMetricCollector/helper_threads.py:85(__init__)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/managers.py:83(dispatch)
1,0.000,0.000,0.001,0.001,/usr/local/lib/python3.8/multiprocessing/managers.py:813(_connect)
910,0.002,0.000,0.055,0.000,/usr/local/lib/python3.8/multiprocessing/managers.py:822(_callmethod)
108,0.002,0.000,0.035,0.000,/users/Ehsan/AgentMetricCollector/collectors/network_metric_collector_ss_v2.py:166(collect_network_metrics)
108,0.002,0.000,0.003,0.000,/users/Ehsan/AgentMetricCollector/collectors/network_metric_collector_ss_v2.py:179(metrics_list_to_str)
108,0.001,0.000,0.002,0.000,/users/Ehsan/AgentMetricCollector/collectors/network_metric_collector_ss_v2.py:191(metrics_list_to_dict)
108,0.002,0.000,0.004,0.000,/users/Ehsan/AgentMetricCollector/collectors/file_ost_path_info_v2.py:6(get_file_ost_path_info)
3,0.000,0.000,0.000,0.000,/users/Ehsan/AgentMetricCollector/collectors/abstract_collector.py:6(__init__)
1680,0.001,0.000,0.001,0.000,/users/Ehsan/AgentMetricCollector/collectors/abstract_collector.py:14(_is_number)
1680,0.001,0.000,0.002,0.000,/users/Ehsan/AgentMetricCollector/collectors/abstract_collector.py:21(_get_mbps)
1680,0.001,0.000,0.003,0.000,/users/Ehsan/AgentMetricCollector/collectors/abstract_collector.py:50(_get_data_type)
303,0.000,0.000,0.000,0.000,/users/Ehsan/AgentMetricCollector/collectors/abstract_collector.py:74(get_metrics_str)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/process.py:99(_check_closed)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/process.py:189(name)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/process.py:234(ident)
911,0.002,0.000,0.011,0.000,/usr/local/lib/python3.8/multiprocessing/reduction.py:48(dumps)
911,0.004,0.000,0.006,0.000,/usr/local/lib/python3.8/multiprocessing/reduction.py:38(__init__)
1,0.000,0.000,0.000,0.000,/users/Ehsan/AgentMetricCollector/collectors/network_metric_collector_ss_v2.py:14(__init__)
108,0.001,0.000,0.035,0.000,/users/Ehsan/AgentMetricCollector/collectors/network_metric_collector_ss_v2.py:163(collect_metrics)
108,0.009,0.000,0.028,0.000,/users/Ehsan/AgentMetricCollector/collectors/network_metric_collector_ss_v2.py:67(parse_output)
4,0.000,0.000,0.000,0.000,{built-in method _hashlib.new}
1,0.000,0.000,0.000,0.000,{built-in method _hashlib.openssl_md5}
8,0.000,0.000,0.000,0.000,{method 'update' of '_hashlib.HASH' objects}
4,0.000,0.000,0.000,0.000,{method 'digest' of '_hashlib.HASH' objects}
1,0.000,0.000,0.000,0.000,{method 'hexdigest' of '_hashlib.HASH' objects}
2,0.000,0.000,0.000,0.000,{method 'copy' of '_hashlib.HASH' objects}
4,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/hashlib.py:146(__hash_new)
109,0.001,0.000,0.004,0.000,/users/Ehsan/AgentMetricCollector/stat_collector_thread.py:90(stopped)
108,0.004,0.000,0.968,0.009,/users/Ehsan/AgentMetricCollector/stat_collector_thread.py:93(run_monitor_commands)
108,0.002,0.000,0.011,0.000,/users/Ehsan/AgentMetricCollector/stat_collector_thread.py:110(run_ost_mdt_path_info_commands)
102,0.003,0.000,0.914,0.009,/users/Ehsan/AgentMetricCollector/stat_collector_thread.py:153(get_process_usage)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/multiprocessing/process.py:37(current_process)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/context.py:207(_add_socket)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/context.py:245(socket)
4,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/attrsettr.py:16(__setattr__)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:54(__init__)
