time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
03:33:04 PM,83099648,0,81920000,0,593625088,0,46,0,83886080,0,83882432,0,82706432,81920000,0.6098712682724
03:33:05 PM,90570752,0,88604672,0,598212608,0,56,0,83883880,0,79691776,0,83492864,81403904,0.603515625
03:33:06 PM,83755008,0,82837504,0,595722240,0,19,0,83883880,0,83881680,0,83099648,80351232,0.603332221508026
03:33:07 PM,82313216,0,81395712,0,597557248,0,31,0,83881680,0,79689576,0,83755008,82632704,0.6162109375
03:33:08 PM,85983232,0,87818240,0,601358336,0,42,0,88076736,0,83880232,0,83099648,91238400,0.6796875
03:33:09 PM,92405760,0,90570752,0,595066880,0,49,0,92268840,0,92274688,0,89915392,88551424,0.663139879703522
03:33:10 PM,90308608,0,89653248,0,600834048,0,72,0,92271040,0,88074536,0,90046464,89260032,0.647406995296478
03:33:11 PM,88211456,0,0,0,607780864,0,45,0,88079632,0,88075984,0,92930048,87302144,0.658203125
03:33:12 PM,89784320,0,86769664,0,603848704,0,55,0,88078184,0,88080384,0,87949312,88084480,0.66015625
03:33:13 PM,90570752,0,88604672,0,598212608,0,56,0,92274688,0,92272488,0,90044264,89423872,0.6611328125
03:33:14 PM,90963968,0,90963968,0,606863360,0,52,0,92271040,0,88076736,0,92009648,90017792,0.6796875
03:33:15 PM,93454336,0,90832896,0,599785472,0,56,0,96468992,0,92274688,0,90969064,92930048,0.6909099817276
03:33:16 PM,92143616,0,92667904,0,614596608,0,53,0,92272488,0,92274688,0,94633984,90841088,0.674788296222687
03:33:17 PM,91357184,0,90439680,0,601620480,0,44,0,88076736,0,92272488,0,92667904,85069824,0.6313556432724
03:33:18 PM,86507520,0,88997888,0,607780864,0,66,0,83886080,0,83882432,0,87949312,83890176,0.6171875
03:33:19 PM,84803584,0,84541440,0,600834048,0,66,0,83882432,0,83882432,0,85590016,83496960,0.62109375
03:33:20 PM,83623936,0,84279296,0,598474752,0,36,0,83883880,0,83886080,0,85325672,80617472,0.6005859375
03:33:21 PM,83099648,0,82182144,0,596639744,0,48,0,83878032,0,83881680,0,82051072,82067456,0.613906979560852
03:33:22 PM,84279296,0,82051072,0,602144768,0,19,0,0,0,79685928,0,83888280,81530880,0.6083984375
03:33:23 PM,83886080,0,82837504,0,596377600,0,30,0,83882432,0,83882432,0,82837504,85065728,0.631711661815643
03:33:24 PM,86638592,0,83492864,0,597819392,0,62,0,83886080,0,83886080,0,86769664,88608768,0.6611328125
03:33:25 PM,93847552,0,87425024,0,603979776,0,42,0,92267392,0,92267392,0,90308608,90058752,0.675009667873383
03:33:26 PM,92667904,0,92405760,0,604635136,0,81,0,92270288,0,92270288,0,92536832,92672000,0.686626136302948
03:33:27 PM,0,0,92143616,0,610533376,0,47,0,92274688,0,92274688,0,94109696,91881472,0.685082972049713
03:33:28 PM,93585408,0,92143616,0,604241920,0,27,0,96468992,0,92274688,0,93585408,90836992,0.6796875
03:33:29 PM,91226112,0,90832896,0,607256576,0,46,0,92271040,0,92271040,0,93192192,85983232,0.63298511505127
03:33:30 PM,90963968,0,88997888,0,602144768,0,72,0,88080384,0,83886080,0,86638592,83623936,0.622437119483948
03:33:31 PM,85196800,0,83886080,0,595197952,0,28,0,83886080,0,83886080,0,85508176,84152320,0.629445672035217
03:33:32 PM,86638592,0,85458944,0,594673664,0,15,0,88076736,0,84914624,0,85802928,85200896,0.6328125
