time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,sender_avg_send_value,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
11:37:52 AM,419430400,0,415236096,0,423886848,0,0,17488.801,0,419430400,0,411041792,0,420478976,413401088,3.1005859375
11:37:53 AM,423624704,0,419430400,0,422182912,0,0,32291.301,0,423624704,0,419430400,0,425721856,418119680,3.1083984375
11:37:54 AM,427819008,0,419430400,0,425328640,0,0,32186.199,0,427819008,0,427819008,0,425197568,426115072,3.158203125
11:37:55 AM,423624704,0,427819008,0,427556864,0,0,19762.301,0,427819008,0,419430400,0,427687936,416833536,3.107421875
11:37:56 AM,432013312,0,423624704,0,426246144,0,0,16172.1,0,423624704,0,427819008,0,425197568,418361344,3.1044921875
11:37:57 AM,423624704,0,419430400,0,427294720,0,0,29234.199,0,427819008,0,419430400,0,426246144,416333824,3.10554426908493
11:37:58 AM,419430400,0,415236096,0,423624704,0,0,22663.199,0,411041792,0,411041792,0,414721952,408641536,3.0478515625
11:37:59 AM,419430400,0,411041792,0,415236096,0,0,29234.199,0,427819008,0,419430400,0,424280064,421806080,3.12890625
11:38:00 AM,427819008,0,427819008,0,426115072,0,0,21764.699,0,427819008,0,419430400,0,428212224,419430400,3.119140625
11:38:01 AM,427819008,0,419430400,0,431489024,0,0,26420.199,0,423624704,0,419430400,0,426901504,415236096,3.1142578125
11:38:02 AM,427819008,0,419430400,0,424148992,0,0,18064.301,0,423624704,0,419430400,0,423755776,414433280,3.0712890625
11:38:03 AM,423624704,0,419430400,0,419430400,0,0,27220.801,0,419430400,0,419430400,0,417726464,410910720,3.0693359375
11:38:04 AM,415236096,0,411041792,0,419430400,0,0,26349.699,0,423624704,0,419430400,0,423362560,420364288,3.1162109375
11:38:05 AM,427819008,0,423624704,0,427556864,0,0,18504,0,427819008,0,419430400,0,428212224,419430400,3.123046875
11:38:06 AM,423624704,0,423624704,0,426901504,0,0,28892.301,0,423624704,0,419430400,0,424411136,415350784,3.09375
11:38:07 AM,427819008,0,415236096,0,422182912,0,0,24458.301,0,427819008,0,419430400,0,424673280,416022528,3.09375
11:38:08 AM,423624704,0,432013312,0,425459712,0,0,33047.301,0,461373440,0,469762048,0,461766656,468189184,3.4814453125
11:38:09 AM,465567744,0,473956352,0,473825280,0,0,28558.199,0,482344960,0,478150656,0,483262464,477102080,3.548828125
11:38:10 AM,490733568,0,486539264,0,484835328,0,0,26420.199,0,486539264,0,478150656,0,0,478019584,3.5615234375
11:38:11 AM,486539264,0,478150656,0,486408192,0,0,21861,0,486539264,0,486539264,0,487981056,475836416,3.5458984375
